datetime,month,day,hour,t,Station,x,Rainfall_Aries,Rainfall_Boso,Rainfall_Campana,Rainfall_Nangka,Rainfall_Oro,Waterlevel,Discharge,Cross_Section,Velocity,fric_coeff,slope
2016-06-26 16:00:00,6,26,16,57600.0,Sto_Nino,14420,0,1,4,0,0,12.33,24.98443748226913,813.78,0.0307017098998121,0.033,0.0006666666666666
2016-06-26 17:00:00,6,26,17,61200.0,Montalban,0,5,9,8,2,0,20.52,8.918746661263755,615.6,0.0144878925621568,0.035,0.002
2016-06-26 17:00:00,6,26,17,61200.0,Sto_Nino,14420,5,9,8,2,0,12.33,24.98443748226913,813.78,0.0307017098998121,0.033,0.0006666666666666
2016-06-26 18:00:00,6,26,18,64800.0,Montalban,0,3,3,2,2,1,20.61,9.76110948540043,618.3,0.0157870119446877,0.035,0.002
2016-06-26 18:00:00,6,26,18,64800.0,Sto_Nino,14420,3,3,2,2,1,12.33,24.98443748226913,813.78,0.0307017098998121,0.033,0.0006666666666666
2016-06-26 19:00:00,6,26,19,68400.0,Montalban,0,1,0,0,0,0,20.61,9.76110948540043,618.3,0.0157870119446877,0.035,0.002
2016-06-26 19:00:00,6,26,19,68400.0,Sto_Nino,14420,1,0,0,0,0,12.31,24.42567240405023,812.46,0.0300638461020237,0.033,0.0006666666666666
2016-06-26 20:00:00,6,26,20,72000.0,Montalban,0,0,0,0,0,0,20.58,9.4720007195621,617.4,0.0153417569153905,0.035,0.002
2016-06-26 20:00:00,6,26,20,72000.0,Sto_Nino,14420,0,0,0,0,0,12.38,26.42638866618216,817.08,0.0323424740125595,0.033,0.0006666666666666
2016-06-26 21:00:00,6,26,21,75600.0,Montalban,0,0,1,1,0,0,20.57,9.377509972773408,617.1,0.0151960945920813,0.035,0.002
2016-06-26 21:00:00,6,26,21,75600.0,Sto_Nino,14420,0,1,1,0,0,12.26,23.07257855567565,809.16,0.0285142352015369,0.033,0.0006666666666666
2016-06-26 22:00:00,6,26,22,79200.0,Montalban,0,0,0,0,1,0,20.56,9.283943659161803,616.8,0.0150517893306773,0.035,0.002
2016-06-26 22:00:00,6,26,22,79200.0,Sto_Nino,14420,0,0,0,1,0,12.25,22.80933429588041,808.5,0.0282119162595923,0.033,0.0006666666666666
2016-06-26 23:00:00,6,26,23,82800.0,Montalban,0,0,0,1,0,0,20.56,9.283943659161803,616.8,0.0150517893306773,0.035,0.002
2016-06-26 23:00:00,6,26,23,82800.0,Sto_Nino,14420,0,0,1,0,0,12.23,22.290084593548013,807.1800000000001,0.0276147632418395,0.033,0.0006666666666666
