Rainfall_Aries,Rainfall_Boso,Rainfall_Campana,Rainfall_Nangka,Rainfall_Oro,Waterlevel_Sto_Nino,Waterlevel_Montalban,Discharge_Sto_Nino,Discharge_San_Jose,Cross_Section_Sto_Nino,Cross_Section_Montalban,Velocity_Sto_Nino,Velocity_Montalban,datetime,t,x,Date
0,0,0,0,0,12.19,21.12,21.280072207274912,16.229815708409838,804.54,633.6,0.0264499865852225,0.0256152394387781,2017-02-03 20:00:00,72000.0,14420,2017-02-03
0,0,0,0,0,12.19,21.12,21.280072207274912,16.229815708409838,804.54,633.6,0.0264499865852225,0.0256152394387781,2017-02-03 21:00:00,75600.0,14420,2017-02-03
0,0,0,0,0,12.21,21.12,21.78037489579036,16.229815708409838,805.86,633.6,0.0270274922390866,0.0256152394387781,2017-02-03 22:00:00,79200.0,14420,2017-02-03
0,0,0,0,0,12.23,21.12,22.290084593548013,16.229815708409838,807.1800000000001,633.6,0.0276147632418395,0.0256152394387781,2017-02-03 23:00:00,82800.0,14420,2017-02-03
0,0,0,0,0,12.23,21.12,22.290084593548013,16.229815708409838,807.1800000000001,633.6,0.0276147632418395,0.0256152394387781,2017-02-04 00:00:00,86400.0,14420,2017-02-04
0,0,0,0,0,12.23,21.11,22.290084593548013,16.069592150850593,807.1800000000001,633.3,0.0276147632418395,0.0253743757316447,2017-02-04 01:00:00,90000.0,14420,2017-02-04
0,0,0,0,0,12.23,21.11,22.290084593548013,16.069592150850593,807.1800000000001,633.3,0.0276147632418395,0.0253743757316447,2017-02-04 02:00:00,93600.0,14420,2017-02-04
0,0,0,0,0,12.23,21.11,22.290084593548013,16.069592150850593,807.1800000000001,633.3,0.0276147632418395,0.0253743757316447,2017-02-04 03:00:00,97200.0,14420,2017-02-04
0,0,0,0,0,12.23,21.11,22.290084593548013,16.069592150850593,807.1800000000001,633.3,0.0276147632418395,0.0253743757316447,2017-02-04 04:00:00,100800.0,14420,2017-02-04
0,0,0,0,0,12.23,21.1,22.290084593548013,15.910919826012854,807.1800000000001,633.0,0.0276147632418395,0.0251357343222951,2017-02-04 05:00:00,104400.0,14420,2017-02-04
0,0,0,0,0,12.23,21.1,22.290084593548013,15.910919826012854,807.1800000000001,633.0,0.0276147632418395,0.0251357343222951,2017-02-04 06:00:00,108000.0,14420,2017-02-04
0,0,0,0,0,12.23,21.1,22.290084593548013,15.910919826012854,807.1800000000001,633.0,0.0276147632418395,0.0251357343222951,2017-02-04 07:00:00,111600.0,14420,2017-02-04
0,0,0,0,0,12.22,21.1,22.034045585893267,15.910919826012854,806.5200000000001,633.0,0.0273198997990046,0.0251357343222951,2017-02-04 08:00:00,115200.0,14420,2017-02-04
0,0,0,0,0,12.21,21.09,21.78037489579036,15.7537840109812,805.86,632.7,0.0270274922390866,0.0248992951019143,2017-02-04 09:00:00,118800.0,14420,2017-02-04
0,0,0,0,0,12.21,21.09,21.78037489579036,15.7537840109812,805.86,632.7,0.0270274922390866,0.0248992951019143,2017-02-04 10:00:00,122400.0,14420,2017-02-04
0,0,0,0,0,12.21,21.09,21.78037489579036,15.7537840109812,805.86,632.7,0.0270274922390866,0.0248992951019143,2017-02-04 11:00:00,126000.0,14420,2017-02-04
0,0,0,0,0,12.21,21.09,21.78037489579036,15.7537840109812,805.86,632.7,0.0270274922390866,0.0248992951019143,2017-02-04 12:00:00,129600.0,14420,2017-02-04
0,0,0,0,0,12.21,21.08,21.78037489579036,15.598170119769838,805.86,632.4,0.0270274922390866,0.0246650381400535,2017-02-04 13:00:00,133200.0,14420,2017-02-04
0,0,0,0,0,12.22,21.08,22.034045585893267,15.598170119769838,806.5200000000001,632.4,0.0273198997990046,0.0246650381400535,2017-02-04 14:00:00,136800.0,14420,2017-02-04
0,0,0,0,0,12.22,21.08,22.034045585893267,15.598170119769838,806.5200000000001,632.4,0.0273198997990046,0.0246650381400535,2017-02-04 15:00:00,140400.0,14420,2017-02-04
0,0,0,0,0,12.22,21.08,22.034045585893267,15.598170119769838,806.5200000000001,632.4,0.0273198997990046,0.0246650381400535,2017-02-04 16:00:00,144000.0,14420,2017-02-04
0,0,0,0,0,12.22,21.08,22.034045585893267,15.598170119769838,806.5200000000001,632.4,0.0273198997990046,0.0246650381400535,2017-02-04 17:00:00,147600.0,14420,2017-02-04
0,0,0,0,0,12.22,21.07,22.034045585893267,15.444063702075498,806.5200000000001,632.1,0.0273198997990046,0.0244329436830809,2017-02-04 18:00:00,151200.0,14420,2017-02-04
0,0,0,0,0,12.22,21.07,22.034045585893267,15.444063702075498,806.5200000000001,632.1,0.0273198997990046,0.0244329436830809,2017-02-04 19:00:00,154800.0,14420,2017-02-04
0,0,0,0,0,12.21,21.07,21.78037489579036,15.444063702075498,805.86,632.1,0.0270274922390866,0.0244329436830809,2017-02-04 20:00:00,158400.0,14420,2017-02-04
0,0,0,0,0,12.21,21.07,21.78037489579036,15.444063702075498,805.86,632.1,0.0270274922390866,0.0244329436830809,2017-02-04 21:00:00,162000.0,14420,2017-02-04
0,0,0,0,0,12.21,21.06,21.78037489579036,15.291450442041524,805.86,631.8,0.0270274922390866,0.0242029921526456,2017-02-04 22:00:00,165600.0,14420,2017-02-04
0,0,0,0,0,12.21,21.06,21.78037489579036,15.291450442041524,805.86,631.8,0.0270274922390866,0.0242029921526456,2017-02-04 23:00:00,169200.0,14420,2017-02-04
0,0,0,0,0,12.2,21.06,21.52905593832164,15.291450442041524,805.1999999999999,631.8,0.0267375260038768,0.0242029921526456,2017-02-05 00:00:00,172800.0,14420,2017-02-05
0,0,0,0,0,12.2,21.06,21.52905593832164,15.291450442041524,805.1999999999999,631.8,0.0267375260038768,0.0242029921526456,2017-02-05 01:00:00,176400.0,14420,2017-02-05
0,0,0,0,0,12.2,21.05,21.52905593832164,15.140316157031943,805.1999999999999,631.5,0.0267375260038768,0.0239751641441519,2017-02-05 02:00:00,180000.0,14420,2017-02-05
0,0,0,0,0,12.19,21.05,21.280072207274912,15.140316157031943,804.54,631.5,0.0264499865852225,0.0239751641441519,2017-02-05 03:00:00,183600.0,14420,2017-02-05
0,0,0,0,0,12.19,21.05,21.280072207274912,15.140316157031943,804.54,631.5,0.0264499865852225,0.0239751641441519,2017-02-05 04:00:00,187200.0,14420,2017-02-05
0,0,0,0,0,12.18,21.05,21.03340727494812,15.140316157031943,803.88,631.5,0.0261648595249889,0.0239751641441519,2017-02-05 05:00:00,190800.0,14420,2017-02-05
0,0,0,0,0,12.17,21.04,20.789044791954503,14.99064679641753,803.22,631.1999999999999,0.0258821304150226,0.0237494404252495,2017-02-05 06:00:00,194400.0,14420,2017-02-05
0,0,0,0,0,12.17,21.04,20.789044791954503,14.99064679641753,803.22,631.1999999999999,0.0258821304150226,0.0237494404252495,2017-02-05 07:00:00,198000.0,14420,2017-02-05
0,0,0,0,0,12.16,21.04,20.546968487027627,14.99064679641753,802.5600000000001,631.1999999999999,0.0256017848971137,0.0237494404252495,2017-02-05 08:00:00,201600.0,14420,2017-02-05
0,0,0,0,0,12.16,21.04,20.546968487027627,14.99064679641753,802.5600000000001,631.1999999999999,0.0256017848971137,0.0237494404252495,2017-02-05 09:00:00,205200.0,14420,2017-02-05
0,0,0,0,0,12.16,21.03,20.546968487027627,14.842428440372696,802.5600000000001,630.9000000000001,0.0256017848971137,0.0235258019343361,2017-02-05 10:00:00,208800.0,14420,2017-02-05
0,0,0,0,0,12.16,21.03,20.546968487027627,14.842428440372696,802.5600000000001,630.9000000000001,0.0256017848971137,0.0235258019343361,2017-02-05 11:00:00,212400.0,14420,2017-02-05
0,0,0,0,0,12.16,21.03,20.546968487027627,14.842428440372696,802.5600000000001,630.9000000000001,0.0256017848971137,0.0235258019343361,2017-02-05 12:00:00,216000.0,14420,2017-02-05
0,0,0,0,0,12.16,21.03,20.546968487027627,14.842428440372696,802.5600000000001,630.9000000000001,0.0256017848971137,0.0235258019343361,2017-02-05 13:00:00,219600.0,14420,2017-02-05
0,0,0,0,0,12.16,21.03,20.546968487027627,14.842428440372696,802.5600000000001,630.9000000000001,0.0256017848971137,0.0235258019343361,2017-02-05 14:00:00,223200.0,14420,2017-02-05
